DATE,UNIDADE,QUANTIDADE
2023-02-15,CO de Canoas,12257.0
2023-02-15,CO de Capuava,14129.0
2023-02-15,CO de Cascavel,4041.0
2023-02-15,CO de Cuiabá,4837.0
2023-02-15,CO de Duque de Caxias,16064.0
2023-02-15,CO de Fortaleza,15026.0
2023-02-15,CO de Goiânia,10735.0
2023-02-15,CO de Gurupi,4320.0
2023-02-15,CO de Ibirité,14413.0
2023-02-15,CO de Jardinópolis,6980.0
2023-02-15,CO de Mataripe,10753.0
2023-02-15,CO de Natal,7756.0
2023-02-15,CO de Passo Fundo,5406.0
2023-02-15,CO de Paulínia,15198.0
2023-02-15,CO de Pelotas,5593.0
2023-02-15,CO de Suape,11575.0
2023-02-15,CO de São José dos Campos,7600.0
2023-02-15,CO de São Luís,14162.0
2023-02-15,CO de Uberlândia,7795.0
2023-02-15,DAC de Aracaju,2178.0
2023-02-15,DAC de Barra de São Francisco,2910.0
2023-02-15,DAC de Bauru,3504.0
2023-02-15,DAC de Caxias do Sul,2149.0
2023-02-15,DAC de Governador Valadares,979.0
2023-02-15,DAC de Itajaí,885.0
2023-02-15,DAC de Itaobim,860.0
2023-02-15,DAC de Jequié,5867.0
2023-02-15,DAC de Joinville,568.0
2023-02-15,DAC de João Pessoa,3730.0
2023-02-15,DAC de Juazeiro,1456.0
2023-02-15,DAC de Londrina,1388.0
2023-02-15,DAC de Macapá,968.0
2023-02-15,DAC de Montes Claros,1260.0
2023-02-15,DAC de Mossoró,1718.0
2023-02-15,DAC de Ponta Grossa,1192.0
2023-02-15,DAC de Rio Largo,2340.0
2023-02-15,DAC de Santa Maria,1645.0
2023-02-15,DAC de Santos,2197.0
2023-02-15,DAC de Serra,2142.0
2023-02-15,DAC de Socorro,7070.0
2023-02-15,DAC de São José,1263.0
2023-02-15,DAC de São José do Rio Preto,4913.0
2023-02-15,DAC de Teresina,2427.0
2023-02-16,CO de Araucária,7395.0
2023-02-16,CO de Barueri,14747.0
2023-02-16,CO de Belém,8614.0
2023-02-16,CO de Brasília,6804.0
2023-02-16,CO de Campo Grande,8462.0
2023-02-16,CO de Canoas,16079.0
2023-02-16,CO de Capuava,16039.0
2023-02-16,CO de Cascavel,2755.0
2023-02-16,CO de Cuiabá,7970.0
2023-02-16,CO de Duque de Caxias,19296.0
2023-02-16,CO de Fortaleza,14523.0
2023-02-16,CO de Goiânia,9554.0
2023-02-16,CO de Gurupi,4396.0
2023-02-16,CO de Ibirité,10442.0
2023-02-16,CO de Jardinópolis,6237.0
2023-02-16,CO de Mataripe,12174.0
2023-02-16,CO de Natal,5670.0
2023-02-16,CO de Passo Fundo,6431.0
2023-02-16,CO de Paulínia,14434.0
2023-02-16,CO de Pelotas,4188.0
2023-02-16,CO de Suape,13419.0
2023-02-16,CO de São José dos Campos,9067.0
2023-02-16,CO de São Luís,9683.0
2023-02-16,CO de Uberlândia,8652.0
2023-02-16,DAC de Aracaju,2528.0
