DATE,UNIDADE,QUANTIDADE,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,QUANTIDADE_LAG_1,QUANTIDADE_LAG_2,QUANTIDADE_MA_3
2023-11-28,CO de Araucária,10240.0,28,1,4,11,4,2023,10116.0,7861.0,9113.0
2023-11-29,CO de Araucária,9977.0,29,2,5,11,4,2023,10240.0,10116.0,9405.667
2023-11-30,CO de Araucária,3693.0,30,3,5,11,4,2023,9977.0,10240.0,10111.0
2023-12-01,CO de Araucária,8956.0,1,4,1,12,4,2023,3693.0,9977.0,7970.0
2023-12-02,CO de Araucária,5241.0,2,5,1,12,4,2023,8956.0,3693.0,7542.0
2023-12-04,CO de Araucária,11529.0,4,0,1,12,4,2023,5241.0,8956.0,5963.333
2023-12-05,CO de Araucária,6843.0,5,1,1,12,4,2023,11529.0,5241.0,8575.333
2023-12-06,CO de Araucária,11090.0,6,2,1,12,4,2023,6843.0,11529.0,7871.0
2023-12-07,CO de Araucária,7835.0,7,3,1,12,4,2023,11090.0,6843.0,9820.667
2023-12-08,CO de Araucária,10189.0,8,4,2,12,4,2023,7835.0,11090.0,8589.333
2023-12-09,CO de Araucária,5921.0,9,5,2,12,4,2023,10189.0,7835.0,9704.667
2023-12-11,CO de Araucária,8565.0,11,0,2,12,4,2023,5921.0,10189.0,7981.667
2023-12-12,CO de Araucária,8517.0,12,1,2,12,4,2023,8565.0,5921.0,8225.0
2023-12-13,CO de Araucária,11002.0,13,2,2,12,4,2023,8517.0,8565.0,7667.667
2023-12-14,CO de Araucária,9542.0,14,3,2,12,4,2023,11002.0,8517.0,9361.333
2023-12-15,CO de Araucária,9538.0,15,4,3,12,4,2023,9542.0,11002.0,9687.0
2023-12-16,CO de Araucária,4404.0,16,5,3,12,4,2023,9538.0,9542.0,10027.333
2023-12-18,CO de Araucária,8173.0,18,0,3,12,4,2023,4404.0,9538.0,7828.0
2023-12-19,CO de Araucária,6214.0,19,1,3,12,4,2023,8173.0,4404.0,7371.667
2023-12-20,CO de Araucária,9011.0,20,2,3,12,4,2023,6214.0,8173.0,6263.667
2023-12-21,CO de Araucária,11704.0,21,3,3,12,4,2023,9011.0,6214.0,7799.333
2023-12-22,CO de Araucária,10065.0,22,4,4,12,4,2023,11704.0,9011.0,8976.333
2023-12-23,CO de Araucária,7275.0,23,5,4,12,4,2023,10065.0,11704.0,10260.0
2023-12-26,CO de Araucária,9530.0,26,1,4,12,4,2023,7275.0,10065.0,9681.333
2023-12-27,CO de Araucária,11006.0,27,2,4,12,4,2023,9530.0,7275.0,8956.667
2023-12-28,CO de Araucária,11589.0,28,3,4,12,4,2023,11006.0,9530.0,9270.333
2023-12-29,CO de Araucária,10891.0,29,4,5,12,4,2023,11589.0,11006.0,10708.333
2023-12-30,CO de Araucária,5845.0,30,5,5,12,4,2023,10891.0,11589.0,11162.0
2024-01-02,CO de Araucária,9241.0,2,1,1,1,1,2024,5845.0,10891.0,9441.667
2024-01-03,CO de Araucária,5049.0,3,2,1,1,1,2024,9241.0,5845.0,8659.0
2024-01-04,CO de Araucária,8486.0,4,3,1,1,1,2024,5049.0,9241.0,6711.667
2024-01-05,CO de Araucária,11984.0,5,4,1,1,1,2024,8486.0,5049.0,7592.0
2024-01-06,CO de Araucária,4911.0,6,5,1,1,1,2024,11984.0,8486.0,8506.333
2024-01-08,CO de Araucária,8280.0,8,0,2,1,1,2024,4911.0,11984.0,8460.333
2024-01-09,CO de Araucária,5211.0,9,1,2,1,1,2024,8280.0,4911.0,8391.667
2024-01-10,CO de Araucária,9819.0,10,2,2,1,1,2024,5211.0,8280.0,6134.0
2024-01-11,CO de Araucária,6438.0,11,3,2,1,1,2024,9819.0,5211.0,7770.0
2024-01-12,CO de Araucária,6860.0,12,4,2,1,1,2024,6438.0,9819.0,7156.0
2024-01-13,CO de Araucária,4575.0,13,5,2,1,1,2024,6860.0,6438.0,7705.667
2024-01-15,CO de Araucária,10780.0,15,0,3,1,1,2024,4575.0,6860.0,5957.667
