DATE,TICKER,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3,XGB,MODEL_TYPE,ET,ADA,FORECAST,RUN_DATE
2024-07-03,TAEE4.SA,3,2,1,7,3,2024,11.56,11.49,11.503333333333332,,AdaBoostRegressor,,11.56,11.56,2024-07-05
2024-07-04,TAEE4.SA,4,3,1,7,3,2024,11.55933415841582,11.56,11.53644471947194,,AdaBoostRegressor,,11.58,11.58,2024-07-05
2024-07-05,TAEE4.SA,5,4,1,7,3,2024,11.581520648967542,11.55933415841582,11.566951602461122,,AdaBoostRegressor,,11.58,11.58,2024-07-05
2024-07-08,TAEE4.SA,8,0,2,7,3,2024,11.581520648967542,11.581520648967542,11.574125152116968,,AdaBoostRegressor,,11.56,11.56,2024-07-05
2024-07-09,TAEE4.SA,9,1,2,7,3,2024,11.55933415841582,11.581520648967542,11.574125152116968,,AdaBoostRegressor,,11.56,11.56,2024-07-05
2024-07-10,TAEE4.SA,10,2,2,7,3,2024,11.55933415841582,11.55933415841582,11.566729655266395,,AdaBoostRegressor,,11.51,11.51,2024-07-05
2024-07-03,EGIE3.SA,3,2,1,7,3,2024,44.34,44.45,44.35999999999999,44.15,XGBRegressor,,,44.15,2024-07-05
2024-07-04,EGIE3.SA,4,3,1,7,3,2024,44.14830017089844,44.34,44.31276672363282,44.05,XGBRegressor,,,44.05,2024-07-05
2024-07-05,EGIE3.SA,5,4,1,7,3,2024,44.0524787902832,44.14830017089844,44.18025965372721,44.05,XGBRegressor,,,44.05,2024-07-05
2024-07-08,EGIE3.SA,8,0,2,7,3,2024,44.05076217651367,44.0524787902832,44.08384704589844,44.08,XGBRegressor,,,44.08,2024-07-05
2024-07-09,EGIE3.SA,9,1,2,7,3,2024,44.08180618286133,44.05076217651367,44.06167984008789,44.08,XGBRegressor,,,44.08,2024-07-05
2024-07-10,EGIE3.SA,10,2,2,7,3,2024,44.08180618286133,44.08180618286133,44.07145690917969,44.08,XGBRegressor,,,44.08,2024-07-05
2024-07-03,EGIE3.SA,3,2,1,7,3,2024,44.34,44.45,44.35999999999999,,ExtraTreesRegressor,44.17,,44.17,2024-07-05
2024-07-04,EGIE3.SA,4,3,1,7,3,2024,44.171143633658005,44.34,44.32038121121934,,ExtraTreesRegressor,44.1,,44.1,2024-07-05
2024-07-05,EGIE3.SA,5,4,1,7,3,2024,44.0992055384199,44.171143633658005,44.20344972402597,,ExtraTreesRegressor,43.96,,43.96,2024-07-05
2024-07-08,EGIE3.SA,8,0,2,7,3,2024,43.95788941738816,44.0992055384199,44.07607952982202,,ExtraTreesRegressor,44.08,,44.08,2024-07-05
2024-07-09,EGIE3.SA,9,1,2,7,3,2024,44.07721689664501,43.95788941738816,44.04477061748435,,ExtraTreesRegressor,43.97,,43.97,2024-07-05
2024-07-10,EGIE3.SA,10,2,2,7,3,2024,43.968314657217775,44.07721689664501,44.00114032375031,,ExtraTreesRegressor,43.98,,43.98,2024-07-05
2024-07-03,EGIE3.SA,3,2,1,7,3,2024,44.34,44.45,44.35999999999999,,AdaBoostRegressor,,44.34,44.34,2024-07-05
2024-07-04,EGIE3.SA,4,3,1,7,3,2024,44.34,44.34,44.376666666666665,,AdaBoostRegressor,,44.34,44.34,2024-07-05
2024-07-05,EGIE3.SA,5,4,1,7,3,2024,44.34,44.34,44.34,,AdaBoostRegressor,,44.29,44.29,2024-07-05
2024-07-08,EGIE3.SA,8,0,2,7,3,2024,44.29,44.34,44.32333333333333,,AdaBoostRegressor,,44.34,44.34,2024-07-05
2024-07-09,EGIE3.SA,9,1,2,7,3,2024,44.34,44.29,44.32333333333333,,AdaBoostRegressor,,44.34,44.34,2024-07-05
2024-07-10,EGIE3.SA,10,2,2,7,3,2024,44.34,44.34,44.32333333333333,,AdaBoostRegressor,,44.34,44.34,2024-07-05
2024-07-03,BBSE3.SA,3,2,1,7,3,2024,32.83,32.82,32.86,32.76,XGBRegressor,,,32.76,2024-07-05
2024-07-04,BBSE3.SA,4,3,1,7,3,2024,32.764991760253906,32.83,32.80499725341797,32.88,XGBRegressor,,,32.88,2024-07-05
2024-07-05,BBSE3.SA,5,4,1,7,3,2024,32.87859344482422,32.764991760253906,32.82452840169271,32.92,XGBRegressor,,,32.92,2024-07-05
2024-07-08,BBSE3.SA,8,0,2,7,3,2024,32.921112060546875,32.87859344482422,32.85490036010742,32.99,XGBRegressor,,,32.99,2024-07-05
2024-07-09,BBSE3.SA,9,1,2,7,3,2024,32.98566436767578,32.921112060546875,32.9284553527832,32.92,XGBRegressor,,,32.92,2024-07-05
2024-07-10,BBSE3.SA,10,2,2,7,3,2024,32.91627883911133,32.98566436767578,32.94102096557617,32.94,XGBRegressor,,,32.94,2024-07-05
2024-07-03,BBSE3.SA,3,2,1,7,3,2024,32.83,32.82,32.86,,ExtraTreesRegressor,32.79,,32.79,2024-07-05
2024-07-04,BBSE3.SA,4,3,1,7,3,2024,32.794827427830114,32.83,32.814942475943376,,ExtraTreesRegressor,32.79,,32.79,2024-07-05
2024-07-05,BBSE3.SA,5,4,1,7,3,2024,32.78793211115317,32.794827427830114,32.804253179661096,,ExtraTreesRegressor,32.79,,32.79,2024-07-05
2024-07-08,BBSE3.SA,8,0,2,7,3,2024,32.79248962946819,32.78793211115317,32.79174972281716,,ExtraTreesRegressor,32.91,,32.91,2024-07-05
2024-07-09,BBSE3.SA,9,1,2,7,3,2024,32.91105468467045,32.79248962946819,32.83049214176393,,ExtraTreesRegressor,32.88,,32.88,2024-07-05
2024-07-10,BBSE3.SA,10,2,2,7,3,2024,32.88142878884364,32.91105468467045,32.861657700994094,,ExtraTreesRegressor,32.8,,32.8,2024-07-05
