EVAL_DATE,RUN_DATE,MODEL_NAME,TICKER,MAE,RMSE,MAPE,BIAS,FORECAST,ACTUAL
2024-06-13,2024-06-12,ET,BOVA11.SA,0.35,0.35,0.003,-0.002,116.21,116.56
2024-06-13,2024-06-12,XGB,BCFF11.SA,0.05,0.05,0.006,-0.003,8.25,8.3
2024-06-13,2024-06-12,ET,BCFF11.SA,0.27,0.27,0.033,0.016,8.57,8.3
2024-06-13,2024-06-12,XGB,TAEE4.SA,0.2,0.2,0.018,-0.009,11.0,11.2
2024-06-13,2024-06-12,ET,TAEE4.SA,0.01,0.01,0.001,0.0,11.21,11.2
2024-06-13,2024-06-12,XGB,EGIE3.SA,1.81,1.81,0.041,-0.021,41.82,43.63
2024-06-13,2024-06-12,ET,EGIE3.SA,0.28,0.28,0.006,-0.003,43.35,43.63
2024-06-13,2024-06-12,XGB,BBSE3.SA,1.51,1.51,0.046,-0.024,31.21,32.72
2024-06-13,2024-06-12,ET,BBSE3.SA,0.39,0.39,0.012,-0.006,32.33,32.72
2024-06-13,2024-06-12,XGB,CSMG3.SA,0.81,0.81,0.041,-0.021,18.77,19.58
2024-06-13,2024-06-12,ET,CSMG3.SA,0.02,0.02,0.001,0.001,19.6,19.58
2024-06-13,2024-06-12,XGB,PETR4.SA,1.75,1.75,0.049,-0.025,33.79,35.54
2024-06-13,2024-06-12,ET,PETR4.SA,1.07,1.07,0.03,0.015,36.61,35.54
2024-06-13,2024-06-12,XGB,BRSR6.SA,0.1,0.1,0.009,0.005,11.1,11.0
2024-06-13,2024-06-12,ET,BRSR6.SA,0.07,0.07,0.006,0.003,11.07,11.0
2024-06-14,2024-06-13,XGB,BOVA11.SA,0.84,0.84,0.007,-0.004,114.72,115.56
2024-06-14,2024-06-13,ET,BOVA11.SA,1.0,1.0,0.009,0.004,116.56,115.56
2024-06-14,2024-06-13,XGB,BCFF11.SA,0.18,0.18,0.022,-0.011,8.12,8.3
2024-06-14,2024-06-13,ET,BCFF11.SA,0.12,0.12,0.014,0.007,8.42,8.3
2024-06-14,2024-06-13,XGB,TAEE4.SA,0.19,0.19,0.017,-0.009,10.97,11.16
2024-06-14,2024-06-13,ET,TAEE4.SA,0.03,0.03,0.003,0.001,11.19,11.16
2024-06-14,2024-06-13,XGB,EGIE3.SA,1.45,1.45,0.033,-0.017,41.85,43.3
2024-06-14,2024-06-13,ET,EGIE3.SA,0.12,0.12,0.003,0.001,43.42,43.3
2024-06-14,2024-06-13,XGB,BBSE3.SA,0.87,0.87,0.027,-0.014,31.36,32.23
2024-06-14,2024-06-13,ET,BBSE3.SA,0.56,0.56,0.017,0.009,32.79,32.23
2024-06-14,2024-06-13,XGB,CSMG3.SA,0.87,0.87,0.044,-0.023,18.7,19.57
2024-06-14,2024-06-13,ET,CSMG3.SA,0.24,0.24,0.012,0.006,19.81,19.57
2024-06-14,2024-06-13,XGB,PETR4.SA,2.14,2.14,0.061,-0.031,33.0,35.14
2024-06-14,2024-06-13,ET,PETR4.SA,0.44,0.44,0.013,0.006,35.58,35.14
2024-06-14,2024-06-13,XGB,BRSR6.SA,0.11,0.11,0.01,0.005,11.02,10.91
2024-06-14,2024-06-13,ET,BRSR6.SA,0.15,0.15,0.014,0.007,11.06,10.91
